2,8,12,20,25,3
1,10,14,15,23,2
3,7,14,15,24,2
0,8,12,20,20,2
3,9,14,16,23,3
2,6,15,20,25,3
4,7,10,17,21,1
3,8,11,18,20,2
2,10,14,15,22,2
5,5,15,17,24,3
0,7,12,17,22,1
3,9,10,19,21,2
4,7,11,20,20,2
2,10,15,18,22,3
3,8,15,19,20,3
1,6,12,16,24,1
3,9,10,17,25,2
5,7,12,19,23,3
3,9,12,16,20,2
1,6,14,19,25,3
2,8,13,19,24,3
3,8,14,20,24,3
0,7,15,16,20,1
4,5,13,16,21,1
4,5,12,15,24,2
5,5,11,18,20,1
2,8,10,17,20,1
3,10,10,16,20,1
5,5,12,20,23,3
0,8,12,17,21,1
4,9,10,17,20,2
2,8,13,17,24,2
3,10,15,20,22,4
4,5,15,18,23,3
3,7,14,17,23,2
3,7,10,15,24,1
1,10,12,17,24,2
3,8,14,15,25,3
3,5,12,18,20,1
3,10,11,16,20,2
2,9,10,17,25,2
3,7,15,15,24,2
0,7,14,18,24,2
3,10,15,20,23,4
5,6,13,20,24,3
0,6,15,20,20,2
3,6,11,18,22,2
1,8,11,20,23,2
3,8,13,20,20,2
2,7,15,16,21,2
4,6,12,18,20,2
1,8,12,20,21,2
3,5,14,19,20,2
3,7,15,19,20,2
2,9,15,15,22,2
4,6,13,19,22,2
2,9,11,19,23,2
0,5,10,18,24,1
3,6,13,19,20,2
1,7,10,20,21,1
1,9,15,16,25,3
4,7,14,17,21,2
1,9,11,20,25,3
1,10,13,15,24,2
4,9,12,15,22,2
2,10,15,16,20,2
5,6,15,17,22,3
1,5,13,17,21,1
0,7,14,18,25,2
4,5,13,19,22,2
4,7,11,16,21,1
4,7,15,16,24,3
3,6,13,19,24,3
1,6,12,20,21,2
1,8,13,19,24,3
3,9,10,18,21,2
1,5,14,20,24,2
1,8,15,18,21,2
4,5,13,17,24,2
2,9,11,20,25,3
5,6,10,19,20,2
0,9,13,20,25,3
0,8,14,18,25,3
0,5,12,19,21,1
0,5,12,17,23,1
5,5,14,19,24,3
5,7,12,20,21,3
5,5,15,15,23,2
3,8,14,16,24,3
0,6,15,19,22,2
5,9,11,17,22,2
1,5,12,19,21,1
5,9,13,17,24,3
2,7,15,18,23,3
5,10,11,16,20,2
0,8,14,15,24,2
3,6,11,15,24,1
3,5,10,15,24,1
0,6,11,20,22,1
3,8,14,19,25,3
